"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:nombre_parfums_choisir","meta:parfums_disponibles_pack"
"simple","Money (Money) Collection Privée L'original","1","0","visible","<strong>MONEY</strong> est un parfum oriental épicé d'un charisme irrésistible et flamboyant, inspiré du célèbre <em>1 Million</em>. Son ouverture éclatante associe le pamplemousse frais, la mandarine vive et la menthe vivifiante dans un accord d'une fraîcheur séduisante. Au cœur, la rose opulente et la cannelle épicée se déploient avec une chaleur lumineuse et charismatique. En fond, le cuir noble, le patchouli profond et l'ambre blanc doré tissent un sillage précieux et addictif — une fragrance somptueuse, taillée pour ceux qui savent que le luxe se mérite.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE 1 MILLION)","0",""
"simple","Mula (Mula) Collection Privée L'original","1","0","visible","<strong>MULA</strong> est un parfum oriental boisé d'une richesse profonde et envoûtante, inspiré du célèbre <em>Mula Puran</em>. Son ouverture déploie des épices orientales — safran chaud et cardamome délicate — dans une explosion de chaleur aromatique. Au cœur, la rose opulente et l'oud précieux se mêlent harmonieusement pour créer un accord floral-boisé d'une richesse incomparable. En fond, l'ambre doré, le musc sensuel et la résine d'encens posent une base enveloppante et mystérieuse — une fragrance venue d'Orient, chargée d'histoire et de séduction.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE MULA PURAN)","0",""
"simple","Musc Blanc (Musc Blanc) Collection Privée L'original","1","0","visible","<strong>MUSC BLANC</strong> est un parfum musqué d'une pureté cristalline et apaisante, inspiré du célèbre <em>Musc Tahara</em>. Son toucher olfactif est d'une légèreté soyeuse et immédiatement enveloppante, révélant un musc blanc d'une blancheur absolue — propre, délicat et infiniment doux. Au fil des heures, ce musc pur s'épanouit sur la peau, se mêlant à la chaleur naturelle du corps pour créer un accord unique et personnel. En fond, des notes poudrées et légèrement vanillées posent un voile de douceur délicate — une fragrance intime, pure et terriblement addictive.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE MUSC TAHARA)","0",""
"simple","Africa United (Africa United) Collection Privée L'original","1","0","visible","<strong>AFRICA UNITED</strong> est un parfum fruité oriental d'une audace créative et envoûtante, inspiré de la rencontre entre <em>Oud Maracuja</em> et <em>1 Million</em>. Son ouverture éclatante associe le fruit de la passion juteux et tropical aux agrumes vifs du pamplemousse et de la mandarine, dans une explosion de fraîcheur exotique. Au cœur, la rose opulente et l'oud précieux se marient aux épices chaudes de la cannelle, créant un accord d'une richesse surprenante. En fond, le cuir noble, l'ambre doré et le musc sensuel fusionnent en un sillage chaleureux et addictif — une fragrance unique, née de la rencontre entre deux mondes.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE OUD MARACUJA & ONE MILLION)","0",""
"simple","Pistachio (Pistachio) Collection Privée L'original","1","0","visible","<strong>PISTACHIO</strong> est un parfum gourmand crémeux d'une douceur sophistiquée et addictive, inspiré du célèbre <em>Pistachio Latte</em>. Son ouverture délicieuse révèle la pistache verte et douce, légèrement grillée, accompagnée d'une touche de café chaud et réconfortant. Au cœur, le lait crémeux et le caramel fondant créent un accord gourmand d'une douceur irrésistible. En fond, la vanille crémeuse, le bois de santal soyeux et le musc blanc tissent un sillage chaud et enveloppant — une fragrance délicieuse et profondément réconfortante, comme un latte artisanal en plein hiver.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE PISTACHIO LATTE)","0",""
"simple","Princesse D'Arabie (Princesse D'Arabie) Collection Privée L'original","1","0","visible","<strong>PRINCESSE D'ARABIE</strong> est un parfum oriental floral d'une opulence royale et majestueuse, inspiré du célèbre <em>Ameerat Al Arab</em>. Son ouverture somptueuse déploie une rose royale et un safran précieux, aux accents dorés et capiteux, d'une générosité orientale incomparable. Au cœur, l'oud noble et l'encens mystérieux se marient harmonieusement à la rose pour créer un accord d'une profondeur envoûtante. En fond, l'ambre chaud, le musc royal et le bois de santal posent une base d'une richesse majestueuse — une fragrance digne d'une princesse, faite pour régner.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE AMEERAT AL ARAB)","0",""
"simple","Raya (Raya) Collection Privée L'original","1","0","visible","<strong>RAYA</strong> est un parfum floral fruité d'une légèreté radieuse et captivante. Son ouverture lumineuse révèle une explosion de pêche dorée et de bergamote ensoleillée, fraîche et lumineuse comme les premiers rayons du matin. Au cœur, la pivoine délicate et la rose de mai s'épanouissent avec grâce, portées par une touche de jasmin crémeux d'une féminité éclatante. En fond, le musc blanc soyeux, le bois de cèdre délicat et la vanille légère tissent un sillage doux et enveloppant — une fragrance radieuse et solaire, conçue pour les femmes qui illuminent chaque pièce qu'elles traversent.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(RAYA)","0",""
"simple","Petit Sucre (Petit Sucre) Collection Privée L'original","1","0","visible","<strong>PETIT SUCRE</strong> est un parfum gourmand oriental d'une douceur obsédante et envoûtante, inspiré du célèbre <em>Sucre Noir</em>. Son ouverture révèle une cassonade brûlée et une canne à sucre caramélisée, d'une profondeur gourmande et légèrement fumée. Au cœur, le caramel noir intense et la fève tonka ronde créent un accord sucré-épicé d'une sensualité troublante. En fond, le bois de santal sombre, la vanille profonde et le musc animal tissent un sillage chaud et addictif — une fragrance sucrée mais intense, pour ceux qui aiment l'alliance des contraires.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE SUCRE NOIR)","0",""
"simple","Vaillant (Vaillant) Collection Privée L'original","1","0","visible","<strong>VAILLANT</strong> est un parfum boisé aromatique d'une fraîcheur robuste et déterminée. Son ouverture vive associe la bergamote lumineuse, le gingembre piquant et la menthe fraîche dans une explosion d'énergie masculine. Au cœur, la lavande provençale et le géranium vert apportent une élégance aromatique d'une noblesse classique. En fond, le bois de cèdre robuste, le vétiver terreux et l'ambre chaud tissent un sillage profond, viril et persistant — une fragrance conçue pour les hommes courageux, droits, qui avancent avec détermination et laissent leur empreinte.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(VAILLANT)","0",""
"simple","Vie (Vie) Collection Privée L'original","1","0","visible","<strong>VIE</strong> est un parfum floral oriental d'une joie communicative et enveloppante, inspiré du célèbre <em>La Vie est Belle</em>. Son ouverture pétillante révèle le cassis vif et la poire lumineuse dans un accord fruité d'une fraîcheur immédiate et séduisante. Au cœur, l'iris poudrée, le jasmin lumineux et le muguet délicat tissent un accord floral d'une féminité souriante et épanouie. En fond, la praline sucrée, la fève tonka ronde, la vanille dorée et le patchouli chaud créent une base gourmande et enveloppante d'une douceur irrésistible — une fragrance lumineuse, célébrant chaque instant de la vie avec joie.","","9.99","15","Collection Privée L'Original > Parfums 50ml","","(INSPIRÉ DE LA VIE EST BELLE)","0",""
